Chick.code.1,Parent.code,Date,SexParentSel,SexParentMol,SexChickSel,SexChickMol,ChickAge,Location,Latitude,Longitude,RingLocation,RingLatitude,RingLongitude,rnd
W[NACN]/a,RW[KY]/aW[KY],09/07/2019,u,u,u,u,70,"Wissenkerke, Keihoogte inlaag",51.595,3.745,"Sloegebied, Quarleshaven Schotlandweg",51.4583,3.7082,0.647249
W[NACN]/a,RW[KY]/aW[KY],17/08/2019,u,u,u,u,109,"Wissenkerke, Keihoogte inlaag",51.595,3.745,"Sloegebied, Quarleshaven Schotlandweg",51.4583,3.7082,0.508298
W[NACN]/a,RW[KY]/aW[KY],02/07/2019,u,u,u,u,63,"Wissenkerke, Keihoogte inlaag",51.595,3.745,"Sloegebied, Quarleshaven Schotlandweg",51.4583,3.7082,0.429715
W[NACT]/a,,30/07/2019,NA,NA,f,f,85,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.913065
W[NALD]/a,,02/08/2019,NA,NA,m,m,79,"Harlingen, Heagewiersterfjild",53.15,5.41667,"Griend, Not specified",53.25,5.25,0.003364
W[NALF]/a,YfLB/RaG,30/07/2019,m,m,f,f,63,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.756998
W[NANC]/a,aLR/LYfL,29/05/2019,u,u,u,u,45,"Onderdijk, Vooroever",52.76667,5.11667,"Onderdijk, Vooroever",52.76667,5.11667,0.721428
W[NASP]/a,,30/07/2019,NA,NA,f,f,68,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.322806
W[NAUA]/a,,11/07/2019,NA,NA,f,f,55,"Texel, waddijk Oosterend",53.1,4.9,"Texel, de Schorren",53.13333,4.9,0.143507
W[NAUT]/Ra,L[JT]/aL[JT],21/07/2020,m,u,f,f,66,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.333952
W[NAUT]/Ra,L[JT]/aL[JT],11/09/2020,m,u,f,f,118,"Onlanden, de Jarrens",53.23333,6.41667,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.405681
W[NAZZ]/a,,08/09/2019,NA,NA,u,u,102,"Den Oever, Het Schor",52.93333,5.03333,"Den Oever, De Banaan",52.9454,5.03975,0.925509
W[NB9T]/a,L[L0]a/L[L0],25/06/2020,u,u,u,u,66,"Balgzand, Balgzandpolder",52.91486,4.80016,"Onderdijk, Vooroever",52.76667,5.11667,0.394771
W[NB9T]/a,L[L0]a/L[L0],28/06/2020,u,u,u,u,69,"Balgzand, Balgzandpolder",52.91486,4.80016,"Onderdijk, Vooroever",52.76667,5.11667,0.534846
W[NBHX]/a,NfNG/aNP,24/06/2021,u,u,u,u,67,"Balgzand, Balgzandpolder",52.91486,4.80016,"Onderdijk, Vooroever",52.76667,5.11667,0.880786
W[NBJH]/a,NfYR/aRN,02/08/2020,u,u,u,u,75,"Zierikzee, Levensstrijd",51.6411,3.8992,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,0.119227
W[NBRS]/a,aYfR/LYG,21/07/2020,u,u,u,u,100,"Balgzand, Balgzandpolder",52.91486,4.80016,"Onderdijk, Vooroever",52.76667,5.11667,0.960643
W[NBRS]/a,aYfR/LYG,23/07/2020,u,u,u,u,102,"Balgzand, Balgzandpolder",52.91486,4.80016,"Onderdijk, Vooroever",52.76667,5.11667,0.269162
W[NBVL]/a,,31/07/2021,NA,NA,u,u,69,"De Onlanden, Middelvennen",53.167,6.4175,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.606878
W[NC1A]/a,B[GV]/aW[GV],27/08/2021,f,f,u,u,56,"Onlanden, de Jarrens",53.23333,6.41667,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.456997
W[NC51]/a,,30/06/2023,NA,NA,u,u,53,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,0.69856
W[NCJ6]/a,,27/06/2023,NA,NA,u,u,51,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,0.661802
W[NCLL]/a,,02/08/2022,NA,NA,u,u,82,"Hellegatsplaten, Not specified",51.6954,4.3813,"Ventjagersplaten, Lebret",51.718,4.334,0.589549
W[NCN1]/a,W[H4]a/RW[H4],03/06/2022,u,u,u,u,45,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,"Ouwerkerk, Ouwerkerkse inlagen",51.616,3.972,0.962521
